cbPhylum	Kingdom	Phylum
Bigyra	Chromista	Bigyra
Tardigrada	Metazoa	Tardigrada
Cnidaria	Metazoa	Cnidaria
Haptista	Other	Haptista
Oomycota	Chromista	Oomycota
Rotifera	Metazoa	Rotifera
Basidiomycota	Fungi	Basidiomycota
Chrysoparadoxa	Chromista	Ochrophyta
Ciliophora	Chromista	Ciliophora
Ichthyosporea	Protozoa	Choanozoa
Mucoromycota	Fungi	Mucoromycota
Gastrotricha	Metazoa	Gastrotricha
Placozoa	Metazoa	Placozoa
Eustigmatophyceae	Chromista	Ochrophyta
Malawimonadidae	Other	Neolouka
Endomyxa	Chromista	Cercozoa
Evosea	Protozoa	Amoebozoa
Pelagophyceae	Chromista	Ochrophyta
Annelida	Metazoa	Annelida
Bacillariophyta	Chromista	Bacillariophyceae
Filasterea	Protozoa	Choanozoa
Xanthophyceae	Chromista	Ochrophyta
Euglenozoa	Protozoa	Euglenozoa
Streptophyta	Plantae	Streptophyta
Porifera	Metazoa	Porifera
Discosea	Protozoa	Amoebozoa
Chlorophyta	Plantae	Chlorophyta
Terrabacteria_group	Bacteria	Terrabacteria_group
Echinodermata	Metazoa	Echinodermata
Imbricatea	Chromista	Cercozoa
Dictyochophyceae	Chromista	Ochrophyta
Chytridiomycota	Fungi	Chytridiomycota
Heterolobosea	Protozoa	Percolozoa
PVC_group	Bacteria	Verrucomicrobia
Tubulinea	Protozoa	Amoebozoa
Euryarchaeota	Archaea	Euryarchaeota
Nemertea	Metazoa	Nemertea
Arthropoda	Metazoa	Arthropoda
Mollusca	Metazoa	Mollusca
Chrysophyceae	Chromista	Ochrophyta
Platyhelminthes	Metazoa	Platyhelminthes
Gnathostomulida	Metazoa	Gnathostomulida
Proteobacteria	Bacteria	Proteobacteria
Nematoda	Metazoa	Nematoda
Synurophyceae	Chromista	Ochrophyta
Rhodophyta	Plantae	Rhodophyta
Acanthocephala	Metazoa	Acanthocephala
Cryptophyceae	Chromista	Cryptophyta
Chordata	Metazoa	Chordata
Phaeophyceae	Chromista	Ochrophyta
Candidatus_Thermoplasmatota	Archaea	Candidatus_Thermoplasmatota
Ascomycota	Fungi	Ascomycota
Glaucocystophyceae	Plantae	Glaucophyta
Bolidophyceae	Chromista	Ochrophyta
Spirochaetes	Bacteria	Spirochaetes
TACK_group	Archaea	TACK_group
